ETHNIC_GROUP	GENDER_IDENTITY	SEX	RACE
Hispanic or Latino	Female	Female	White
Not Hispanic or Latino		Male	Asian
Hispanic or Latino	Male		White
Not Hispanic or Latino	Female	Female	
		Female	Black or African American
Hispanic or Latino	Male	Male	
Not Hispanic or Latino		Unknown	Asian
	Female	Female	White
Not Hispanic or Latino	Male		Black or African American
Hispanic or Latino		Female	Native Hawaiian or Other Pacific Islander
Not Hispanic or Latino	Female		Asian
	Male	Male	White
Hispanic or Latino		Male	White
Not Hispanic or Latino	Female	Female	
		Male	Asian
Hispanic or Latino	Male		Native Hawaiian or Other Pacific Islander
	Female		Black or African American
Not Hispanic or Latino		Female	White
Hispanic or Latino	Male	Male	
		Unknown	American Indian or Alaska Native
