ETHNIC_GROUP	GENDER_IDENTITY	SEX	RACE
Hispanic or Latino	Female	Female	White
Hispanic or Latino	Male	Male	Black or African American
Not Hispanic or Latino	Female	Female	Black or African American
Not Hispanic or Latino	Male	Male	American Indian or Alaska Native
Hispanic or Latino	Other	Other	Native Hawaiian or Other Pacific Islander
Hispanic or Latino	Female	Female	Asian
Not Hispanic or Latino	Male	Male	White
Hispanic or Latino	Other	Other	American Indian or Alaska Native
Hispanic or Latino	Male	Male	American Indian or Alaska Native
Not Reported	Female	Female	American Indian or Alaska Native
Not Hispanic or Latino	Male	Male	Asian
Hispanic or Latino	Female	Female	White
Hispanic or Latino	Male	Male	Black or African American
Not Hispanic or Latino	Other	Other	Black or African American
Hispanic or Latino	Female	Female	Native Hawaiian or Other Pacific Islander
Hispanic or Latino	Male	Male	Asian
Not Hispanic or Latino	Female	Female	White
Hispanic or Latino	Male	Male	Black or African American
Not Hispanic or Latino	Other	Other	Native Hawaiian or Other Pacific Islander
Hispanic or Latino	Male	Male	Black or African American
