ETHNIC_GROUP	GENDER_IDENTITY	SEX	RACE
Latino	Woman	F	Caucasian
Hispanic	Man	M	African American
Not Hispanic	Female	Female	Black
Non-Hispanic	Male	Male	Native American
Hispanic or Latino	Other	Other	Pacific Islander
Latinx	Woman	F	Asian American
Not Hispanic or Latino	Man	M	White
Latino	Non-binary	Intersex	Indigenous
Hispanic	Genderqueer	Male	Alaska Native
Not Reported	Female	F	American Indian or Alaska Native
Non-Hispanic	Male	M	Asian
Latino	Woman	Female	Caucasian
Hispanic or Latino	Man	Male	African American
Not Hispanic	Other	Other	Black
Latinx	Female	F	Native Hawaiian or Other Pacific Islander
Latino	Male	M	Asian American
Non-Hispanic	Woman	Female	Caucasian
Hispanic	Man	Male	Black
Not Hispanic or Latino	Non-binary	Intersex	Pacific Islander
Latino	Genderqueer	M	African American
