ETHNIC_GROUP	GENDER_IDENTITY	SEX	RACE
Hispnic or Latino	Male	Male	Asian
Not Hispanic or Latno	Female	Female	White
Hispanic or Latino	Femle	Female	Black or African American
Not Hispnic or Latino	male	Male	Native Hawaiian or Other Pacfic Islander
 Hispanic or Latino	Female	Female	American Indian or Alaska Native
Hispanic or Latino 	Male	Male	white
Hispanic	Female	F	Asian
Not Hispanic	Male	Male	Black or African Amrican
hispanic or latino	Other	Other	White
NOT HISPANIC OR LATINO	Unkown	Unknown	Asian
Hispanic or Latino	MALE	male	Native Hawaiian or Other Pacific Islander
Not Hispanic or Latino	female	FEMALE	American Indian or Alska Native
Hispanic or  Latino	Male	Male	Asian
Not  Hispanic or Latino	Female	Female	 White
Hispanic or Latino	M	Male	Black or African American
Not Hispanic or Latino	F	Female	Native Hawiian or Other Pacific Islander
Hispanic or Latino	Male	Male	American Indian or Alaska Natve
Not Hispanic or Latino	Female	Female	Asain
Hispanicc or Latino	Male	Male	White
Not Hispanic or Latino	Male	Male	Black or African American 
